fuente,estudio,accesion,participantes_c3dc,diagnosticos_c3dc,uso_en_mvp,verificado
C3DC,TARGET ALL Expansion Phase 2,phs000464,1704,8,"Contexto clínico y trazabilidad; no genera inasistencias ni score",2026-08-12
C3DC,TARGET Acute Myeloid Leukemia,phs000465,2144,10,"Contexto clínico y trazabilidad; no genera inasistencias ni score",2026-08-12
